Customer ID,Customer Name,City,LoginID,Password,LoginType
12520,Claire Gute,Henderson,12520,12520,CUSTOMER
13045,Darrin Van Huff,Los Angeles,13045,13045,CUSTOMER
20335,Sean O'Donnell,Fort Lauderdale,20335,20335,CUSTOMER
11710,Brosina Hoffman,0,11710,11710,CUSTOMER
10480,Andrew Allen,Concord,10480,10480,CUSTOMER
15070,Irene Maddox,Seattle,15070,15070,CUSTOMER
14815,Harold Pawlan,Fort Worth,14815,14815,CUSTOMER
19075,Pete Kriz,Madison,19075,19075,CUSTOMER
10270,Alejandro Grove,West Jordan,10270,10270,CUSTOMER
21925,Zuschuss Donatelli,San Francisco,21925,21925,CUSTOMER
16585,Ken Black,Fremont,16585,16585,CUSTOMER
20065,Sandra Flanagan,Philadelphia,20065,20065,CUSTOMER
13870,Emily Burns,Orem,13870,13870,CUSTOMER
13945,Eric Hoffmann,0,13945,13945,CUSTOMER
21520,Tracy Blumstein,0,21520,21520,CUSTOMER
17560,Matt Abelman,Houston,17560,17560,CUSTOMER
14485,Gene Hale,Richardson,14485,14485,CUSTOMER
20710,Steve Nguyen,0,20710,20710,CUSTOMER
16930,Linda Cazamias,Naperville,16930,16930,CUSTOMER
19885,Ruben Ausman,0,19885,19885,CUSTOMER
14080,Erin Smith,Melbourne,14080,14080,CUSTOMER
18715,Odella Nelson,Eagan,18715,18715,CUSTOMER
18865,Patrick O'Donnell,Westland,18865,18865,CUSTOMER
16900,Lena Hernandez,Dover,16900,16900,CUSTOMER
13000,Darren Powers,New Albany,13000,13000,CUSTOMER
15265,Janet Molinari,New York City,15265,15265,CUSTOMER
21055,Ted Butterfield,Troy,21055,21055,CUSTOMER
16720,Kunst Miller,0,16720,16720,CUSTOMER
18970,Paul Stevenson,Chicago,18970,18970,CUSTOMER
11590,Brendan Sweed,Gilbert,11590,11590,CUSTOMER
16270,Karen Daniels,Springfield,16270,16270,CUSTOMER
14980,Henry MacAllister,0,14980,14980,CUSTOMER
15745,Joel Eaton,Memphis,15745,15745,CUSTOMER
16600,Ken Brennan,0,16600,16600,CUSTOMER
20770,Stewart Carmichael,Decatur,20770,20770,CUSTOMER
13690,Duane Noonan,0,13690,13690,CUSTOMER
16105,Julie Creighton,Durham,16105,16105,CUSTOMER
12400,Christopher Schild,0,12400,12400,CUSTOMER
18895,Paul Gonzalez,Rochester,18895,18895,CUSTOMER
14455,Gary Mitchum,0,14455,14455,CUSTOMER
15685,Jim Sink,0,15685,15685,CUSTOMER
16315,Karl Braun,Minneapolis,16315,16315,CUSTOMER
19705,Roger Barcio,Portland,19705,19705,CUSTOMER
18775,Parhena Norris,0,18775,18775,CUSTOMER
16345,Katherine Ducich,0,16345,16345,CUSTOMER
13855,Elpida Rittenbach,Saint Paul,13855,13855,CUSTOMER
19465,Rick Bensley,0,19465,19465,CUSTOMER
14470,Gary Zandusky,0,14470,14470,CUSTOMER
16870,Lena Cacioppo,Aurora,16870,16870,CUSTOMER
15250,Janet Martin,Charlotte,15250,15250,CUSTOMER
19060,Pete Armstrong,Orland Park,19060,19060,CUSTOMER
